State,Population_Density,College_Educated_Share,11,21,22,23,31-33,42,44-45,48-49,51,52,53,54,55,56,61,62,71,72,81,99
Alabama,72.80444487,0.285865189,0.00159800656,0.00130262371,0.00378766058,0.0293251986,0.0786682436,0.021819241,0.0684374159,0.0209519029,0.00826925044,0.0206788574,0.00748802891,0.0322605106,0.00627387311,0.03197806,0.00669798999,0.0778629212,0.00568751609,0.0533479075,0.0231300943,3.06E-05
Alaska,0.745665661,0.328481225,0.00128497803,0.0162414096,0.00389255287,0.032241267,0.0206230065,0.0156018904,0.0668564765,0.0398778776,0.0138001493,0.0137843098,0.00933341517,0.0384107455,0.009093843,0.0344092962,0.00542700275,0.0959001479,0.00803853746,0.0537869233,0.0196429385,1.98E-05
Arizona,63.71242214,0.260057004,0.000356993613,0.00201790545,0.0024153027,0.0373604628,0.0324598624,0.0184354385,0.06559843,0.0240301089,0.00984407043,0.0324462048,0.0113566459,0.0344773885,0.0126937596,0.0347924609,0.0138870895,0.0779020005,0.0106341227,0.0606276448,0.0184968976,3.13E-05
Arkansas,33.71684311,0.296515018,0.00224802559,0.00120352727,0.00378978967,0.025699271,0.0774028987,0.0225523234,0.0687648879,0.0299478904,0.0085054065,0.0190484015,0.00647022027,0.0181365074,0.0166211681,0.023305669,0.00740998048,0.0910135669,0.00516627894,0.0525852535,0.0193078445,3.12E-05
California,235.6696173,0.329414753,0.00111309352,0.000477197419,0.00218717153,0.02913364,0.0387420024,0.0264636641,0.0561073427,0.0236527784,0.0256758778,0.0209018677,0.0108491491,0.0457070555,0.0122510041,0.0307075438,0.0145124353,0.0737870098,0.0111321367,0.0567289876,0.0198074309,5.21E-05
Colorado,48.73957193,0.466789919,0.00034221757,0.00348634149,0.0019763484,0.0371859651,0.0283621199,0.0214651357,0.0605366525,0.0206806775,0.0185699164,0.0246562307,0.0114085105,0.0474088762,0.0121529176,0.0338734583,0.011887657,0.0691923246,0.0120652663,0.0611338557,0.0233999651,3.75E-05
Connecticut,652.5664802,0.413187235,0.000108580314,0.000174878574,0.00255146825,0.0202862529,0.0513645772,0.0217996122,0.0604829558,0.0188922981,0.0118041346,0.034799145,0.00680571938,0.0362350436,0.0108316474,0.0264256071,0.0266522389,0.0975430068,0.00871483867,0.0452952421,0.0192055236,2.47E-05
Delaware,414.5801527,0.339129465,0.000164453,0.000327696787,0.00321046115,0.0282351291,0.0359946504,0.0239327484,0.0667304325,0.0226243797,0.00910658489,0.0386113879,0.00787318739,0.0440721949,0.00911021253,0.0313730374,0.00833147921,0.08802105,0.011783783,0.0515632709,0.0186823445,0.000251516353
District of Columbia,9984.882353,0.659441853,1.42E-05,0,0.00190384267,0.0102151399,0.000961402624,0.0032207936,0.0207042891,0.0021285492,0.025473377,0.0200993829,0.0105185411,0.107963429,0.00928028489,0.0300111216,0.0517640411,0.066204043,0.0080401324,0.0585412659,0.0729433427,1.23E-05
Florida,333.7836157,0.337227758,0.0005065798,0.000210612905,0.00187785225,0.0336394645,0.0227747525,0.0222087343,0.0730657232,0.0226727661,0.010629086,0.0251636328,0.0124420202,0.0372184011,0.0106627376,0.0361175023,0.0115540551,0.0789534079,0.0149547411,0.0637443455,0.0215055309,4.61E-05
Georgia,145.0903324,0.322503856,0.000934359847,0.000402134296,0.00271968131,0.0259228676,0.0503444422,0.0261371062,0.0628792716,0.0328441719,0.0152073183,0.0224452362,0.00951189311,0.0384967743,0.0159356795,0.0327537822,0.010783841,0.0693668551,0.00705289371,0.0554268654,0.0201244431,4.44E-05
Hawaii,131.276802,0.33277264,0.000251811227,0.000139776571,0.00372061758,0.0328293552,0.011070091,0.0168649502,0.0694230749,0.0297521367,0.00792245068,0.0209952945,0.0137151759,0.0255908494,0.0075906147,0.0332870968,0.0174357935,0.076225179,0.0104469649,0.0983418871,0.0243072524,5.87E-05
Idaho,15.36788761,0.314563551,0.00255258656,0.00156537781,0.00287892425,0.0444050223,0.0505428531,0.0240886387,0.070272872,0.0182264813,0.0129968827,0.0174925941,0.00864720363,0.0311674842,0.00789096447,0.027145633,0.0135862277,0.0824561456,0.0082649862,0.0579480363,0.0172996227,1.19E-05
Illinois,185.6472528,0.337939849,0.000109558343,0.000420602211,0.00240330651,0.0206354365,0.0503911808,0.0294376291,0.0537756096,0.0306964186,0.0105813371,0.03155054,0.00772725743,0.0409070299,0.0205743403,0.0304588222,0.0155034484,0.0787005098,0.00745826435,0.0464749886,0.0219010145,2.02E-05
Indiana,140.1113399,0.319986731,0.000268990298,0.00088043082,0.00260773669,0.0269568908,0.0956642319,0.0220283646,0.0599246174,0.027395111,0.00668285808,0.0188853681,0.00647644476,0.0239778641,0.0103504129,0.0254963986,0.011492216,0.0817166406,0.00627438461,0.0502618257,0.022344333,1.16E-05
Iowa,30.28399055,0.358029656,0.000824856782,0.000397832468,0.00250937601,0.0262221372,0.0829025977,0.0249841035,0.0678669256,0.0250177864,0.0115472464,0.0355290966,0.00568267939,0.0228583383,0.00880882672,0.0233882826,0.0112631873,0.0798498042,0.00627998948,0.0446844829,0.018531957,2.06E-05
Kansas,22.33693089,0.381594493,0.00022762192,0.00193820921,0.00280334365,0.030127387,0.0714655814,0.026335685,0.0616149433,0.0277946902,0.0103542302,0.0266043816,0.00667248843,0.0294064416,0.00928757334,0.02616069,0.00830520505,0.0821368564,0.00669773221,0.0496690711,0.0213622316,1.50E-05
