State,Federal_Share,DOGEIntensity_it
District of Columbia,0.28,0.033600000000000005
Virginia,0.12,0.0144
Maryland,0.1,0.012
Alaska,0.08,0.0096
Hawaii,0.07,0.008400000000000001
New Mexico,0.065,0.0078
Colorado,0.06,0.0072
Texas,0.04,0.0048
California,0.03,0.0036
New York,0.025,0.003
